,design_dimension,entity_1_c_terminal_helix,entity_1_c_terminal_orientation,entity_1_max_radius,entity_1_min_radius,entity_1_n_terminal_helix,entity_1_n_terminal_orientation,entity_1_name,entity_1_number_of_residues,entity_1_radius,entity_1_symmetry,entity_1_thermophile,entity_2_c_terminal_helix,entity_2_c_terminal_orientation,entity_2_max_radius,entity_2_min_radius,entity_2_n_terminal_helix,entity_2_n_terminal_orientation,entity_2_name,entity_2_number_of_residues,entity_2_radius,entity_2_symmetry,entity_2_thermophile,entity_max_radius_average_deviation,entity_max_radius_ratio_1v2,entity_maximum_radius,entity_min_radius_average_deviation,entity_min_radius_ratio_1v2,entity_minimum_radius,entity_number_of_residues_average_deviation,entity_number_of_residues_ratio_1v2,entity_radius_average_deviation,entity_radius_ratio_1v2,entity_residue_length_total,entity_thermophilicity,interface_b_factor_per_residue,interface_secondary_structure_count,interface_secondary_structure_fragment_count,interface_secondary_structure_fragment_topology,interface_secondary_structure_fragment_topology_1,interface_secondary_structure_fragment_topology_2,interface_secondary_structure_topology,interface_secondary_structure_topology_1,interface_secondary_structure_topology_2,multiple_fragment_ratio,nanohedra_score,nanohedra_score_center,nanohedra_score_center_normalized,nanohedra_score_normalized,number_fragment_residues_center,number_fragment_residues_total,number_of_fragments,observations,percent_fragment,percent_fragment_coil,percent_fragment_helix,percent_fragment_strand,percent_residues_fragment_center,percent_residues_fragment_total,symmetry_group_1,symmetry_group_2,total_interface_residues,total_non_fragment_interface_residues,buried_unsatisfied_hbond_density,buried_unsatisfied_hbonds,contact_count,core,entity_1_number_of_mutations,entity_1_percent_mutations,entity_2_number_of_mutations,entity_2_percent_mutations,errat_accuracy,favor_residue_energy,interaction_energy_complex,interaction_energy_per_residue,interface_area_hydrophobic,interface_area_polar,interface_area_to_residue_surface_ratio,interface_area_total,interface_bound_activation_energy,interface_composition_similarity,interface_connectivity,interface_connectivity_1,interface_connectivity_2,interface_energy,interface_energy_bound,interface_energy_complex,interface_energy_density,interface_energy_unbound,interface_local_density,interface_separation,number_hbonds,number_of_mutations,percent_core,percent_interface_area_hydrophobic,percent_interface_area_polar,percent_mutations,percent_rim,percent_support,rim,rmsd_complex,rosetta_reference_energy,shape_complementarity,solvation_energy,solvation_energy_activation,solvation_energy_bound,solvation_energy_complex,solvation_energy_unbound,support
E4,0,0,1,43.45769438200789,12.509504426634974,0,1,1v9o_1,91,29.514226440930795,C3,0,0,1,83.00496766459221,29.82629249504537,1,1,1esj_1,253,57.84065153113948,C3,0,0.4764446562088618,0.5235553437911382,83.00496766459221,0.5805880188188658,0.4194119811811342,12.509504426634974,0.6403162055335969,0.3596837944664031,0.4897321233485532,0.5102678766514468,344,0.0,0.0,18,4,HHHH,HH,HH,GHCTEHCTTGHHTEHTTH,GHCTEHCTT,GHHTEHTTH,1.8823529411764703,29.639348207350064,6.503889983327055,0.3825817637251208,0.6174864209864597,17,48,16,1,1.0909090909090908,0.0,1.0,0.0,0.3863636363636363,1.0,C3,C3,44,27,0.0018489739604977,2.0,3.873376607894897,11.0,0.0,0.0,0.0,0.0,100.0,0.0,-47.47117002908927,-1.078890204429626,667.2954252559874,414.38557335664336,0.4291205812542906,1081.68099861263,20.516548965935897,0.633412681663616,34.294013023376465,15.09836101531982,19.19565200805664,-30.407614623301697,-249.2174489768489,-300.1416125660865,-0.0281114438196683,-269.7339979427848,67.036866359447,0.5042291432619095,22.0,0.0,0.25,0.6169059326288103,0.3830940673711904,0.0,0.25,0.4545454545454545,11.0,0.0750029797387841,217.7880999999999,0.757461428642273,-23.090758114872187,-0.7836363318500617,352.17147025908605,374.4785920421082,351.387833927236,20.0
E10,0,1,1,65.71755583556042,14.225159260971386,1,-1,1vhc_1,212,41.222217650132926,C3,0,0,1,94.04266194658678,49.70170690227852,0,1,2gtr_1,249,72.58039182202273,C3,0,0.3011942189292144,0.6988057810707856,94.04266194658678,0.713789321382054,0.286210678617946,14.225159260971386,0.1485943775100401,0.8514056224899599,0.4320474632981375,0.5679525367018625,461,0.0,0.0,15,4,HHHH,HH,HH,CHHTHHHCCHHHHHC,CHHTHHHC,CHHHHHC,1.875,29.775763108834948,6.39250823863124,0.3995317649144525,0.6616836246407766,16,45,15,1,1.125,0.0,1.0,0.0,0.4,1.0,C3,C3,40,24,0.0024286175863961,3.0,3.040214538574219,11.0,0.0,0.0,0.0,0.0,99.0115,0.0,-58.15689753551599,-1.453922390937805,749.1241090101145,486.1465308816422,0.4518116713824018,1235.2706398917576,21.50418339315445,0.7976713925508466,36.38955497741699,17.45205497741699,18.9375,-39.91719269214087,-318.38496632417207,-379.8063424094674,-0.0323145320572329,-339.8891497173265,58.23853211009175,0.4476911872625351,19.0,0.0,0.2894736842105263,0.6064453285117807,0.3935546714882186,0.0,0.2368421052631578,0.4473684210526316,9.0,0.071255350676277,244.8505399999998,0.741583526134491,-21.726513717684327,0.1181619902092734,436.6232396993403,458.4679154072339,436.7414016895496,17.0
H10,0,1,-1,71.45455747536332,29.42252405895864,1,1,1vhc_1,212,51.6861538210709,C3,0,1,-1,89.70963962139186,38.270854680814224,0,1,4g9q_1,238,65.45465454856381,C3,0,0.2034907533133763,0.7965092466866237,89.70963962139186,0.2312028486338296,0.7687971513661703,29.42252405895864,0.1092436974789915,0.8907563025210085,0.2103517438515763,0.7896482561484237,450,0.0,0.0,11,4,HHHH,HH,HH,HTHCHHTHHHC,HTHCH,HTHHHC,2.2,26.77505282013294,5.1679838360758,0.51679838360758,0.7875015535333219,10,34,11,1,0.9714285714285714,0.0,1.0,0.0,0.2857142857142857,0.9714285714285714,C3,C3,35,25,0.0018559266522404,2.0,3.597315549850464,11.0,0.0,0.0,0.0,0.0,98.6885,0.0,-35.59921069499786,-1.017120361328125,597.2370015097237,480.3917924868722,0.4123464252589329,1077.6287939965962,12.53359156200446,0.9152233758972488,32.10246562957763,18.08163261413574,14.02083301544189,-34.670320530678225,-256.96388056965543,-304.1677926623381,-0.0321727859573022,-269.4974721316599,60.17557251908397,0.4877829402685165,19.0,0.0,0.3333333333333333,0.5542140344030285,0.4457859655969712,0.0,0.2727272727272727,0.3939393939393939,9.0,1.131618988351094e-13,187.5793799999999,0.7174996733665466,-35.97128279988971,0.8873701269170056,325.8956556992731,362.7543086260798,326.7830258261901,13.0
F4,0,1,-1,69.6394292983508,27.841452027507472,1,1,1vhc_1,212,50.01559215436493,C3,0,0,1,88.02758237052747,40.64934909687977,0,1,4knp_1,251,66.38951188517306,C3,0,0.2088908110048607,0.7911091889951393,88.02758237052747,0.315082463899906,0.684917536100094,27.841452027507472,0.1553784860557768,0.8446215139442231,0.2466341334024021,0.7533658665975979,463,0.0,0.0,17,3,HHH,HH,H,GHHTHTHCTCGCHCETH,GHHTHTH,CTCGCHCETH,2.6666666666666665,22.86846539045344,5.231525609149509,0.5812806232388343,0.9528527246022266,9,24,12,1,0.4363636363636363,0.0,1.0,0.0,0.1636363636363636,0.4363636363636363,C3,C3,55,46,0.0013657179594836,2.0,4.01023006439209,12.0,0.0,0.0,0.0,0.0,99.6877,0.0,-42.05232526106703,-0.7645877599716187,951.1147479273948,513.3164591983829,0.4979319555473012,1464.4312071257782,31.91773919072909,0.5722396239050481,36.61558532714843,18.20000076293945,18.41558456420898,-36.56842934254957,-338.3020040546924,-406.788172587971,-0.0249710803516144,-370.2197432454215,75.32369942196532,0.4129226058721542,32.0,0.0,0.2264150943396226,0.649477246387105,0.3505227536128945,0.0,0.2452830188679245,0.5283018867924528,13.0,0.1118226951540418,264.59741,0.7732688188552856,-27.84872853767104,-0.3981028001458071,432.4397736042605,459.8903993417857,432.0416708041147,28.0
F9,0,0,1,52.9654032458925,13.24348209497789,0,1,1x25_1,124,34.254547774734,C3,1,0,1,72.70017464215611,25.86913351853904,0,1,2gtr_1,249,51.91296125109659,C3,0,0.2714542501913077,0.7285457498086922,72.70017464215611,0.4880585356487883,0.5119414643512117,13.24348209497789,0.5020080321285141,0.4979919678714859,0.3401542322147839,0.6598457677852161,373,0.0,0.0,23,4,HHHH,HH,HH,CTCTTECHCGHTGHTECHHTHCG,CTCTTECHCGHTG,HTECHHTHCG,3.7777777777777777,25.73656051306955,5.257564927378807,0.5841738808198674,0.8302116294538564,9,31,17,1,0.5166666666666667,0.0,1.0,0.0,0.15,0.5166666666666667,C3,C3,60,51,0.0019543977150542,3.0,3.470842361450195,14.0,0.0,0.0,0.0,0.0,98.4676,0.0,-44.71225066840597,-0.7452041506767273,899.1171541781655,635.8825937706297,0.3831209829608836,1534.9997479487956,30.58624488892553,0.6269100301411019,34.646745681762695,17.68674659729004,16.95999908447266,-45.487474814983614,-409.3351289809651,-485.4088486848743,-0.0296335389473308,-439.92137386989066,62.10091743119266,0.5273079425096512,36.0,0.0,0.2413793103448276,0.5857441705639669,0.4142558294360328,0.0,0.2586206896551724,0.4482758620689655,15.0,0.1574385770881994,175.3185699999999,0.6688007116317749,-48.162172211713255,-10.245375387258376,578.9806887344015,616.8974855588564,568.7353133471431,26.0
G9,0,1,-1,67.87253579320578,16.844132539255323,1,1,7tpc_1,33,42.12953864599573,C3,0,1,-1,73.50927278922028,19.17534625502236,1,1,4gvs_1,315,46.19834316114664,C3,0,0.0766806252073424,0.9233193747926576,73.50927278922028,0.1215734873708708,0.8784265126291292,16.844132539255323,0.8952380952380953,0.1047619047619047,0.0880725202840785,0.9119274797159216,348,0.0,0.0,28,3,HHH,H,HH,HCHTGGTGTCECCHTGGTCHTGTCECHC,HCHTGGTGTCECC,HTGGTCHTGTCECHC,3.692307692307693,34.86149502186133,8.539515947648042,0.6568858421267725,0.9960427149103236,13,35,24,1,0.6363636363636364,0.0,1.0,0.0,0.2363636363636363,0.6363636363636364,C3,C3,55,42,0.0036789818627964,6.0,4.458563327789307,17.0,0.0,0.0,0.0,0.0,95.3664,0.0,-62.58201604948543,-1.137854814529419,960.6316637586308,670.2543323575163,0.5146763141762165,1630.885996116147,39.019220304587975,0.700111045267695,28.166666984558116,10.16666698455811,18.0,-11.616912781099188,-261.5446001387953,-312.1807332244825,-0.0071230685705586,-300.5638204433833,66.07163323782235,0.6202938258647919,41.0,0.0,0.3148148148148148,0.5890244112993275,0.4109755887006726,0.0,0.2037037037037037,0.4629629629629629,11.0,0.0812763710118405,123.61951,0.588972806930542,-74.68584105094737,-13.345441570756634,443.477871874512,504.8182713547027,430.1324303037553,25.0
H8,0,1,-1,62.06544838313826,11.021503754025582,1,1,7tf8_1,33,36.72556071070564,C3,0,0,1,74.45311290335684,25.86266258527919,0,-1,4ogg_1,384,51.78333197799312,C3,0,0.1663820898435538,0.8336179101564462,74.45311290335684,0.5738449698408497,0.4261550301591503,11.021503754025582,0.9140625,0.0859375,0.290784132502071,0.709215867497929,417,0.0,0.0,8,3,HGH,H,GH,HTTCGCGH,H,TTCGCGH,5.714285714285714,43.49427283050448,11.18924715284458,0.7992319394888986,1.2426935094429852,14,35,40,1,1.0,0.0,1.0,0.0,0.4,1.0,C3,C3,35,21,0.0030172135533293,3.0,4.829694271087646,12.0,0.0,0.0,0.0,0.0,98.8471,0.0,-33.34324507698088,-0.9526641368865968,630.0972229082323,364.1976610881841,0.4277366822009256,994.2948839964158,22.64941266296728,0.7652727951168314,27.78225803375244,10.03225803375244,17.75,-20.52778109027389,-203.9883639306265,-247.1655576838677,-0.0206455664417839,-226.6377765935938,65.06201550387597,0.527833878993988,20.0,0.0,0.3529411764705882,0.6337126269579636,0.366287373042037,0.0,0.3235294117647059,0.2941176470588235,11.0,0.1347039788008235,205.6890199999999,0.6854745149612427,-20.71369466838331,6.365647535698315,250.0592153406459,277.1385575447275,256.4248628763442,10.0
E7,0,1,-1,59.69658788406587,9.248490579548642,1,1,nanohedraentry54dockedposes_designs-1zvb_4wcz-degen_1_1-rot_26_6-tx_263_design_1zvb_4wcz-degen_1_1-rot_26_6-tx_263_clean_asu_scout_hbnet_design_profile_0143_0001_optimize_design_0001_1,33,34.66676355129871,C3,0,0,1,61.298051747180345,19.70473163988792,0,1,4wcz_1,249,41.82222384851339,C3,0,0.026125852575537,0.973874147424463,61.298051747180345,0.5306462047507869,0.469353795249213,9.248490579548642,0.8674698795180723,0.1325301204819277,0.1710922958839509,0.8289077041160491,282,0.0,0.0,14,3,HHG,H,HG,HHTTHHTHCHGCTH,HHTTH,HTHCHGCTH,2.933333333333333,31.52363457827361,8.507978550101535,0.567198570006769,0.9552616538870792,15,33,22,1,0.5789473684210527,0.0,1.0,0.0,0.2631578947368421,0.5789473684210527,C3,C3,57,42,0.0018580164288822,3.0,3.941011190414429,19.0,0.0,0.0,0.0,0.0,95.9839,0.0,-73.14905323007478,-1.283316731452942,925.1502525903464,689.4748677078398,0.4442868299482187,1614.625120298186,29.62274962284181,0.7245510422448082,25.980243682861328,10.2142858505249,15.76595783233643,-47.33376365232624,-326.4526680011052,-403.4091812762733,-0.0293156368356171,-356.07541762394703,66.95541401273886,0.4171787053346634,31.0,0.0,0.3653846153846153,0.5729814561658073,0.4270185438341928,0.0,0.2115384615384615,0.4230769230769231,11.0,0.0438776208793854,145.5831999999998,0.758045494556427,-32.2096323802196,4.040476402667082,454.75772584445554,491.0078346273422,458.7982022471226,22.0
E8,0,0,1,71.82259574117326,26.752554364022888,0,1,2gtr_1,249,51.208321552896194,C3,0,0,1,59.75784519207499,16.2647632014733,0,1,1nq3_1,132,38.47100104247378,C3,0,0.2018940025417497,1.2018940025417495,71.82259574117326,0.6448167140607113,1.6448167140607113,16.2647632014733,0.8863636363636365,1.8863636363636365,0.3310888764334418,1.331088876433442,381,0.0,0.0,22,6,HHHHCH,HHH,HCH,ECCHCCHHTHCECHCGHCCTCT,ECCHCCHHTHC,ECHCGHCCTCT,2.588235294117647,33.79574875059403,7.246381110164385,0.4262577123626108,0.6376556368036609,17,53,22,1,0.8153846153846154,0.0,1.0,0.0,0.2615384615384615,0.8153846153846154,C3,C3,65,48,0.0028783089171297,5.0,3.545258522033691,18.0,0.0,0.0,0.0,0.0,99.0787,0.0,-79.68939411681768,-1.207415103912354,1090.9879319423053,646.1431905176318,0.4367142525565217,1737.131122459939,29.336442863195657,0.7895906708962782,35.54410743713379,17.45977020263672,18.08433723449707,-66.47381684471122,-407.92825928483273,-503.7385189927396,-0.038266435955956,-437.2647021480284,45.46376811594203,0.5000316798686981,34.0,0.0,0.3050847457627119,0.6280400585980896,0.3719599414019092,0.0,0.2542372881355932,0.423728813559322,15.0,1.014050940434125e-13,214.8066699999998,0.7361264824867249,-26.274395465667,3.4085163472152544,587.6480049241725,617.3309167370547,591.0565212713877,25.0
G2,0,0,1,73.0005844154689,27.69799434977197,0,1,2gtr_1,249,52.489524828454726,C3,0,0,1,51.53735294909897,11.817517886595306,0,1,2gdg_1,114,32.44847725277649,C3,0,0.4164597178199694,1.4164597178199694,73.0005844154689,1.3438081173704002,2.3438081173704,11.817517886595306,1.1842105263157894,2.1842105263157894,0.6176267508504856,1.6176267508504856,363,0.0,0.0,21,4,HHHH,HH,HH,CHCHHTHCCGCHCTECGTHCG,CHCHHTHCCG,CHCTECGTHCG,1.8333333333333333,23.850004483567243,4.698355352883934,0.3915296127403278,0.6115385765017242,12,39,11,1,0.65,0.0,1.0,0.0,0.2,0.65,C3,C3,60,48,0.0024026039959097,4.0,3.736238479614258,19.0,0.0,0.0,0.0,0.0,100.0,0.0,-57.15278518328915,-0.9525464177131652,913.4710367132848,751.3892593695043,0.4594181198199382,1664.8602960827902,40.07807810387362,0.6013145161298371,33.01578140258789,17.39240455627441,15.62337684631348,-30.96625489834622,-401.1874703057412,-472.231803307961,-0.0185999119392816,-441.2655484096148,50.48623853211009,0.4581071436405182,39.0,0.0,0.3392857142857143,0.5486772907387899,0.4513227092612095,0.0,0.1785714285714285,0.4821428571428571,10.0,0.0398126166490664,173.6182,0.706261157989502,-53.620885037288645,-3.004348768664613,618.2345677299663,668.8511039985904,615.2302189613017,27.0
